Radius	Vobs	Verr	Vgas	Vdisk	Vbul
0.142	26.999	3.727	0.91	23.272	0
0.27	35.199	5.218	0.91	29.981	0
0.398	44.889	3.727	1.656	36.69	0
0.59	51.225	2.236	2.774	41.162	0
0.718	56.443	1.863	3.519	45.635	0
0.974	64.642	4.845	5.383	52.716	0
1.294	73.587	4.1	8.364	59.797	0
1.678	80.668	2.982	11.346	65.388	0
2.094	88.495	2.609	14.7	69.86	0
2.35	92.968	2.981	17.309	70.978	0
2.797	96.322	4.845	20.664	72.096	0
3.149	97.44	4.845	22.9	72.096	0
3.501	100.049	3.354	26.254	71.724	0
3.917	101.167	5.963	29.236	70.606	0
4.365	101.54	4.099	32.217	68.742	0
4.845	102.658	5.963	34.453	66.506	0
5.197	103.403	7.454	35.944	65.015	0
6.156	106.012	4.1	39.299	60.543	0
7.532	109.366	5.218	41.162	54.579	0
8.875	117.566	4.845	41.535	49.734	0
10.187	119.429	4.846	40.789	45.635	0
11.562	118.311	4.845	40.044	42.28	0
12.842	120.175	5.59	38.18	40.044	0
14.217	123.529	6.709	36.69	37.808	0
15.561	130.983	8.2	34.826	36.317	0
16.904	136.201	13.045	33.708	34.453	0
